feature1,feature2,feature3
0.724138,0.716049,0.717647
0.758621,0.777778,0.764706
0.747126,0.777778,0.752941
0.724138,0.765432,0.729412
0.827586,0.790123,0.800000
0.816092,0.827160,0.811765
0.781609,0.839506,0.800000
0.816092,0.876543,0.811765
0.839080,0.888889,0.847059
0.908046,0.938272,0.905882
0.931034,0.962963,0.941176
0.954023,0.975309,0.976471
1.000000,1.000000,1.000000
0.988506,0.987654,0.988235
0.885057,0.876543,0.882353
0.827586,0.864198,0.835294
0.850575,0.876543,0.847059
0.816092,0.864198,0.823529
0.827586,0.851852,0.823529
0.873563,0.901235,0.858824
0.747126,0.802469,0.776471
0.793103,0.790123,0.764706
0.827586,0.802469,0.811765
0.839080,0.851852,0.835294
0.839080,0.864198,0.835294
0.862069,0.876543,0.858824
0.885057,0.925926,0.894118
0.850575,0.864198,0.858824
0.804598,0.814815,0.800000
0.735632,0.802469,0.752941
0.770115,0.753086,0.752941
0.827586,0.790123,0.800000
0.885057,0.851852,0.847059
0.770115,0.790123,0.776471
0.678161,0.691358,0.694118
0.724138,0.679012,0.705882
0.770115,0.740741,0.764706
0.839080,0.814815,0.823529
0.850575,0.839506,0.847059
0.862069,0.864198,0.847059
0.827586,0.888889,0.823529
0.850575,0.864198,0.823529
0.885057,0.888889,0.870588
0.954023,0.938272,0.929412
0.885057,0.987654,0.917647
0.793103,0.888889,0.811765
0.862069,0.864198,0.858824
0.896552,0.925926,0.870588
0.885057,0.876543,0.870588
0.850575,0.839506,0.823529
0.724138,0.814815,0.729412
0.689655,0.740741,0.705882
0.655172,0.666667,0.635294
0.770115,0.728395,0.741176
0.885057,0.876543,0.847059
0.954023,0.962963,0.941176
0.896552,0.950617,0.894118
0.919540,0.950617,0.905882
0.908046,0.925926,0.894118
0.908046,0.950617,0.894118
0.793103,0.777778,0.788235
0.655172,0.703704,0.658824
0.747126,0.728395,0.717647
0.781609,0.814815,0.752941
0.701149,0.765432,0.717647
0.643678,0.716049,0.647059
0.620690,0.654321,0.611765
0.586207,0.604938,0.600000
0.689655,0.641975,0.658824
0.712644,0.716049,0.705882
0.655172,0.728395,0.670588
0.666667,0.679012,0.647059
0.758621,0.728395,0.717647
0.793103,0.765432,0.752941
0.689655,0.679012,0.670588
0.609195,0.604938,0.576471
0.643678,0.629630,0.623529
0.735632,0.679012,0.670588
0.735632,0.703704,0.694118
0.770115,0.765432,0.741176
0.770115,0.802469,0.752941
0.781609,0.753086,0.752941
0.839080,0.802469,0.788235
0.758621,0.827160,0.764706
0.781609,0.814815,0.764706
0.632184,0.716049,0.670588
0.712644,0.679012,0.670588
0.678161,0.703704,0.670588
0.678161,0.666667,0.670588
0.724138,0.728395,0.694118
0.597701,0.604938,0.588235
0.597701,0.604938,0.576471
0.609195,0.666667,0.623529
0.540230,0.617284,0.541176
0.505747,0.641975,0.541176
0.632184,0.567901,0.600000
0.701149,0.679012,0.670588
0.666667,0.679012,0.658824
0.735632,0.703704,0.705882
0.747126,0.728395,0.717647
0.781609,0.777778,0.764706
0.689655,0.777778,0.705882
0.540230,0.617284,0.564706
0.494253,0.604938,0.505882
0.563218,0.567901,0.541176
0.609195,0.629630,0.588235
0.586207,0.604938,0.564706
0.655172,0.617284,0.623529
0.632184,0.703704,0.635294
0.678161,0.703704,0.658824
0.620690,0.604938,0.588235
0.482759,0.543210,0.482353
0.528736,0.493827,0.494118
0.540230,0.530864,0.517647
0.528736,0.567901,0.529412
0.459770,0.530864,0.470588
0.448276,0.506173,0.447059
0.436782,0.469136,0.447059
0.425287,0.518519,0.435294
0.459770,0.530864,0.494118
0.528736,0.629630,0.541176
0.620690,0.629630,0.600000
0.609195,0.666667,0.611765
0.597701,0.629630,0.588235
0.574713,0.641975,0.588235
0.482759,0.567901,0.517647
0.551724,0.604938,0.564706
0.471264,0.592593,0.517647
0.402299,0.555556,0.470588
0.402299,0.555556,0.482353
0.367816,0.543210,0.447059
0.402299,0.567901,0.470588
0.390805,0.530864,0.447059
0.517241,0.592593,0.552941
